"","Country","Q1_2020_cases","Q2_2020_cases","Q3_2020_cases","Q1rate100kcases","Q2rate100kcases","Q3rate100kcases","Q1_2020_deaths","Q2_2020_deaths","Q3_2020_deaths","Q1rate100kdeaths","Q2rate100kdeaths","Q3rate100kdeaths","Population2018","Density2018","Urban2018"
"61","France",52827,202063,604031,78.8864041753064,301.740085313853,901.997720870284,3532,29846,31986,5.27432524177375,44.5689442712286,47.7645999952931,66965912,122.299437237519,80.444
"62","Gabon",16,5394,8766,0.754975168394852,254.521003645115,413.63202038433,1,42,54,0.0471859480246783,1.98180981703649,2.54804119333263,2119275,8.22476423332169,89.37
"63","Gambia",4,49,3579,0.175430748273542,2.14902666635089,156.966662017752,1,2,112,0.0438576870683855,0.0877153741367711,4.91206095165918,2280102,225.30652173913,61.27
"64","Georgia",110,928,6192,2.95179266393653,24.9023962921191,166.159092500863,0,15,39,0,0.40251718144589,1.04654467175931,3726549,65.197330207495,58.632
"65","Germany",71808,195418,292913,86.6139830874522,235.710942332104,353.308289161304,775,8990,9495,0.934796079723366,10.843634524791,11.4527597122237,82905782,237.30759674834,77.312
"66","Ghana",161,17741,46626,0.540865441143963,59.5993403188513,156.635975520363,5,112,301,0.0167970633895641,0.376254219926235,1.01118321605176,29767108,130.821429199262,56.06
"67","Greece",1314,3409,18475,12.242750828715,31.7622051560802,172.134567397648,49,192,391,0.456540936535033,1.78889509825972,3.64301033031016,10732882,83.2651823118697,79.058
"68","Grenada",9,23,24,8.07508030218745,20.6363163278124,21.5335474724999,0,0,0,0,0,0,111454,327.805882352941,36.272
"69","Guatemala",38,18096,91746,0.232459266101628,110.699549457238,561.24231125684,1,773,3246,0.00611734910793757,4.72871086043574,19.8569152043653,16346950,152.547125793206,51.054
"70","Guinea",22,5391,10652,0.177214728992765,43.4256638181816,85.804149692315,0,33,66,0,0.265822093489147,0.531644186978294,12414318,50.5222122741332,36.14
"71","Guinea-Bissau",8,1654,2324,0.426823965525428,88.2458548723823,123.992361985137,0,24,39,0,1.28047189657628,2.08076683193646,1874309,66.6539473684211,43.36
"72","Guyana",12,245,2894,1.54042854722184,31.4504161724458,371.500017971666,2,12,80,0.25673809120364,1.54042854722184,10.2695236481456,779004,3.95734823469647,26.606
"73","Haiti",15,5975,8766,0.134853570598901,53.7166722885622,78.8084266579977,0,105,229,0,0.943974994192306,2.05876451114322,11123176,403.59854862119,55.278
"74","Honduras",141,19558,76900,1.4706615536319,203.994316779664,802.084209037539,7,497,2353,0.0730115664923637,5.18382122095782,24.5423165652188,9587522,85.6870319063366,57.096
"75","Hungary",492,4155,26461,5.03295768919318,42.5039414605643,270.68514921492,16,585,765,0.16367342078677,5.98430944751628,7.82563543136744,9775564,107.981486799956,71.351
"76","Iceland",1135,1824,2728,321.784072964184,517.122598314248,773.415815899819,2,10,10,0.56702039288843,2.83510196444215,2.83510196444215,352721,3.51841396508728,93.813
"77","India",1397,585481,6312584,0.103281243784273,43.2850435877308,466.694006451468,35,17400,98678,0.00258757590010706,1.28639487605322,7.29533756202183,1352617328,454.938072575247,34.03
"78","Indonesia",1528,56385,287008,0.570866170046723,21.06563416105,107.22719746909,136,2876,10740,0.0508100779622738,1.07448370749632,4.01250174496191,267663435,147.75219008926,55.325
"79","Iran",44605,227662,457219,54.5291605336897,278.314488183407,558.945594665465,2898,10817,26169,3.54277563561558,13.2236728952566,31.9913373390007,81800269,50.222420123284,74.898
"80","Iraq",694,49109,362981,1.80571166895633,127.77621664377,944.436638774406,50,1943,9181,0.130094500645269,5.05547229507514,23.8879522084842,38433600,88.5305700354617,70.473
"81","Ireland",3235,25473,36155,66.4637348386667,523.347980694083,742.811849487479,71,1736,1804,1.45870948177599,35.6664740896215,37.0635479594914,4867316,70.6534475250399,63.17
"82","Israel",5358,25244,245494,60.3188183905976,284.189669923898,2763.70063493493,20,320,1569,0.225154230647994,3.6024676903679,17.6633493943351,8882800,410.480591497227,92.418
"83","Italy",105792,240578,314861,175.089239373365,398.16450232499,521.105310404728,12428,34767,35894,20.568748742175,57.5405284453813,59.4057505110742,60421760,205.418372203713,70.438
"84","Jamaica",36,702,6482,1.22663640963523,23.919409987887,220.862700201543,1,10,107,0.0340732336009786,0.340732336009786,3.64583599530471,2934855,270.993074792244,55.674
"85","Japan",2255,18615,83591,1.78219871950405,14.7120306712053,66.0646444177663,67,972,1575,0.0529522457679696,0.768202729648753,1.24477294156048,126529100,347.073458415624,91.616
"86","Jordan",274,1132,11825,2.75210624013975,11.3700155614533,118.772468210411,5,9,61,0.0502209167908714,0.0903976502235685,0.612695184848631,9956011,112.14249831043,90.979
"87","Kazakhstan",343,22308,140707,1.87672709846473,122.058390998692,769.879416453868,2,188,2078,0.0109430151513978,1.0286434242314,11.3697927423024,18276498.5,6.76982572137645,57.428
"88","Kenya",59,6366,38529,0.114801604342692,12.386898529586,74.9693392155859,1,148,711,0.00194578990411342,0.287976905808786,1.38345662182464,51393010,90.2994166637383,27.03
"89","Korea, South",9786,12850,23889,18.9626786928727,24.8998999799115,46.2905611377514,162,282,415,0.313913135933515,0.546441384773155,0.804160193903756,51606633,529.358501289308,81.459
"90","Kosovo",106,2799,15620,5.89844108653736,155.752232086963,869.185375204846,1,49,625,0.055645670627711,2.72663786075784,34.7785441423194,1797085,NA,NA
"91","Kuwait",289,46195,105182,6.98521165433016,1116.54620197848,2542.2786582206,0,354,610,0,8.55628001949092,14.7438723499702,4137312,232.172390572391,100
"92","Kyrgyzstan",107,5506,46669,1.69228822673499,87.0816726766622,738.106535079395,0,61,1064,0,0.964762447017144,16.8279876004302,6322800,32.9655891553702,36.351
"93","Laos",9,19,23,0.127451548231843,0.269064379600558,0.325709512148044,0,0,0,0,0,0,7061507,30.5957842287695,35.004
"94","Latvia",398,1118,1824,20.6520013242188,58.0124057298407,94.6463578275755,0,30,37,0,1.55668351690091,1.91990967084446,1927174,30.9934705693149,68.142
"95","Lebanon",470,1778,39634,6.86239081315681,25.960278437857,578.689356358845,12,34,367,0.175209978208259,0.496428271590067,5.35850516686925,6848925,669.494134897361,88.593
"96","Lesotho",0,27,1595,0,1.28075471554912,75.6593989370685,0,0,36,0,0,1.70767295406549,2108132,69.437812911726,28.153
"97","Liberia",3,780,1343,0.0622538767045371,16.1860079431796,27.8689854713978,0,36,82,0,0.747046520454445,1.70160596325735,4818977,50.0309073920266,51.151
"98","Libya",10,824,34525,0.149732719608862,12.3379760957702,516.952214449597,0,24,551,0,0.359358527061269,8.25027285044831,6678567,3.79563238119054,80.102
"99","Liechtenstein",68,82,118,179.372197309417,216.301767343709,311.263518860459,0,1,1,0,2.63782643102084,2.63782643102084,37910,236.9375,14.338
"100","Lithuania",537,1817,4693,19.1680084867518,64.8571162391582,167.514830220346,8,78,92,0.28555692345254,2.78418000366227,3.28390461970421,2801543,44.7230757742448,67.679
"101","Luxembourg",2178,4299,8509,358.253145817913,707.130520602023,1399.62167941443,23,110,124,3.78320585574472,18.0935932231269,20.3964141787976,607950,250.185185185185,90.981
"102","Madagascar",57,2214,16408,0.217040595882291,8.43031367163844,62.4772297760811,0,20,230,0,0.0761545950464178,0.875777843033804,26262368,45.1398556204881,37.191
"103","Malawi",0,1224,5773,0,6.74628644214136,31.8188820510475,0,14,179,0,0.0771634070179568,0.986589275443876,18143315,192.440761561307,16.937
"104","Malaysia",2766,8639,11224,8.77299123953707,27.4005319299931,35.5994409517585,43,121,136,0.136384173282753,0.383778720167746,0.431354594568706,31528585,95.9628214883579,76.036
"105","Maldives",18,2361,10291,3.4904284694859,457.8278675809,1995.55552108219,0,9,34,0,1.74521423474295,6.59303155347336,515696,1718.98666666667,39.808
"106","Mali",28,2181,3118,0.146768293226276,11.4322016973753,16.3436977956975,2,116,131,0.0104834495161626,0.608040071937431,0.68666594330865,19077690,15.635015858186,42.356
"107","Malta",169,670,3058,34.8719641788581,138.249798815591,630.996842952355,0,9,35,0,1.85708684976167,7.22200441573984,484630,1514.46875,94.612
"108","Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,58413,324.516666666667,77.031
"109","Mauritania",6,4363,7502,0.136260852325257,99.0843497825163,170.37148569068,1,129,161,0.0227101420542096,2.92960832499303,3.65633287072774,4403319,4.27216357815077,53.672
"110","Mauritius",143,341,381,11.3016407927587,26.9500665058093,30.1113646296579,5,10,10,0.395162265481075,0.790324530962149,0.790324530962149,1265303,623.30197044335,40.793
"111","Mexico",1215,226089,743216,0.962827809586227,179.164425219375,588.962167349331,29,27769,77646,0.0229810752905355,22.0055682669958,61.5306404141006,126190788,64.9146264050001,80.156
"112","Moldova",353,16613,53042,13.0448487813783,613.920886133252,1960.12710782399,4,545,1320,0.147816983358394,20.1400639825812,48.7796045082702,2706049,94.2644302783293,42.629
"113","Monaco",52,103,218,134.429450390362,266.273719042449,563.569618944212,1,4,2,2.5851817382762,10.3407269531048,5.1703634765524,38682,NA,100
"114","Mongolia",12,220,313,0.378524058989189,6.93960774813514,9.87316920530136,0,0,0,0,0,0,3170208,2.04060866654651,68.445
"115","Montenegro",109,548,10772,17.5177226317726,88.0707523138662,1731.20099256381,2,12,169,0.321426103335278,1.92855662001167,27.160505731831,622227,46.2622304832714,66.813
"116","Morocco",617,12533,123653,1.71250280814379,34.7857337025382,343.202771046035,36,228,2194,0.0999191265691674,0.63282113493806,6.08951565813204,36029138,80.7285189334528,62.453
"117","Mozambique",8,889,8728,0.0271223566127458,3.01397187859138,29.5904910645057,0,6,61,0,0.0203417674595594,0.206807969172187,29495962,37.508535313716,35.988
"118","Namibia",11,205,11265,0.44929960318676,8.37331078666234,460.123639081713,0,0,121,0,0,4.94229563505436,2448255,2.97374558175127,50.032
"119","Nepal",5,13564,77817,0.0178012779964704,48.291306948825,277.048409970268,0,29,498,0,0.103247412379529,1.77300728844846,28087871,195.939107080572,19.74
"120","Netherlands",12667,50483,125988,73.5101926550858,292.967163164656,731.144087173676,1040,6132,6457,6.03541488602583,35.5857346933754,37.4718018452585,17231624,511.475927574948,91.49
"121","New Zealand",647,1528,1848,13.3650072299112,31.5637265027887,38.1739310059905,1,22,25,0.0206568890725057,0.454451559595125,0.516422226812642,4841000,18.3851733697923,86.538
"122","Nicaragua",5,2519,5170,0.0773333840640333,38.96055889146,79.9627191222104,1,83,151,0.0154666768128067,1.28373417546295,2.33546819873381,6465513,53.7270483629716,58.522
